sale_date,sale_price,sale_nbr,lat,lng,sqft,sqft_lot,year_built,year_reno,beds,baths,address,city,zipcode,property_type,h3_07,community
2025-10-07,885000.0,"6749-10th-Ave-NW,-Seattle,-WA-98117",47.679233,-122.370149,1340.0,5350.0,1925.0,,5.0,1.0,"6749 10th Ave NW, Seattle, WA 98117",Seattle,98117,Single Family,8728d5472ffffff,9
2025-10-07,535000.0,"8418-31st-Ave-SW,-Seattle,-WA-98126",47.527625,-122.372217,1435.0,7562.0,1959.0,,3.0,2.0,"8418 31st Ave SW, Seattle, WA 98126",Seattle,98126,Single Family,8728d5570ffffff,9
2025-10-07,16642330.0,"8428-137th-Ave-SE,-Newcastle,-WA-98059",47.526057,-122.158315,3707.0,6216.0,2026.0,,5.0,2.0,"8428 137th Ave SE, Newcastle, WA 98059",Newcastle,98059,Single Family,8728d5510ffffff,7
2025-10-08,2515000.0,"7560-30th-Ave-NE,-Seattle,-WA-98115",47.684711,-122.295563,3520.0,4588.0,2019.0,,4.0,3.5,"7560 30th Ave NE, Seattle, WA 98115",Seattle,98115,Single Family,8728d5408ffffff,9
2025-10-08,865000.0,"3805-Fremont-Ln-N,-Seattle,-WA-98103",47.653018,-122.349449,1410.0,1184.0,2014.0,,2.0,1.5,"3805 Fremont Ln N, Seattle, WA 98103",Seattle,98103,Single Family,8728d542bffffff,9
2025-10-08,825000.0,"5310-26th-Ave-S,-Seattle,-WA-98108",47.5545,-122.298908,2090.0,6178.0,1970.0,,3.0,1.0,"5310 26th Ave S, Seattle, WA 98108",Seattle,98108,Single Family,8728d5508ffffff,38
2025-10-08,820000.0,"3526-Cheasty-Blvd-S,-Seattle,-WA-98144",47.571702,-122.298829,1490.0,2280.0,2003.0,,3.0,2.5,"3526 Cheasty Blvd S, Seattle, WA 98144",Seattle,98144,Single Family,8728d550bffffff,38
2025-10-08,1275000.0,"311-Nw-42nd-St,-Seattle,-WA-98107",47.657535,-122.361457,2260.0,4800.0,1998.0,,3.0,2.5,"311 Nw 42nd St, Seattle, WA 98107",Seattle,98107,Single Family,8728d5476ffffff,9
2025-10-08,1260000.0,"1506-3rd-St,-Kirkland,-WA-98033",47.687496,-122.204157,1490.0,9375.0,1916.0,,3.0,1.5,"1506 3rd St, Kirkland, WA 98033",Kirkland,98033,Single Family,8728d541effffff,59
2025-10-08,715000.0,"14614-12th-Ave-SW,-Burien,-WA-98166",47.471654,-122.349514,1630.0,7860.0,1942.0,,4.0,1.5,"14614 12th Ave SW, Burien, WA 98166",Burien,98166,Single Family,8728d5cd3ffffff,38
2025-10-08,1205000.0,"6743-11th-Ave-NW,-Seattle,-WA-98117",47.679027,-122.371215,2080.0,5633.0,1924.0,,5.0,2.0,"6743 11th Ave NW, Seattle, WA 98117",Seattle,98117,Single Family,8728d5472ffffff,9
2025-10-08,2200000.0,"522-19th-Ave,-Kirkland,-WA-98033",47.691632,-122.199012,2320.0,7500.0,1962.0,,3.0,2.0,"522 19th Ave, Kirkland, WA 98033",Kirkland,98033,Single Family,8728d541effffff,59
2025-10-08,623000.0,"13223-4th-Ave-SW,-Burien,-WA-98146",47.484205,-122.339562,1480.0,8100.0,1958.0,,3.0,1.0,"13223 4th Ave SW, Burien, WA 98146",Burien,98146,Single Family,8728d552dffffff,38
2025-10-08,1260000.0,"1504-3rd-St,-Kirkland,-WA-98033",47.687468,-122.204146,3278.0,5410.0,2025.0,,4.0,4.5,"1504 3rd St, Kirkland, WA 98033",Kirkland,98033,Single Family,8728d541effffff,59
2025-10-08,623000.0,"13223-4th-Ave-SW,-Seattle,-WA-98146",47.484201,-122.339566,1480.0,,,,4.0,2.0,"13223 4th Ave SW, Seattle, WA 98146",Seattle,98146,Single Family,8728d552dffffff,38
2025-10-09,950000.0,"8008-38th-Ave-NE,-Seattle,-WA-98115",47.687009,-122.287078,1010.0,6000.0,1945.0,,3.0,1.0,"8008 38th Ave NE, Seattle, WA 98115",Seattle,98115,Single Family,8728d540effffff,59
2025-10-09,1050000.0,"3400-E-Spring-St,-Seattle,-WA-98122",47.611762,-122.289016,1575.0,505.0,2026.0,,2.0,2.0,"3400 E Spring St, Seattle, WA 98122",Seattle,98122,Townhouse,8728d5423ffffff,7
2025-10-09,2490000.0,"6190-112th-Ln-SE,-Bellevue,-WA-98006",47.547765,-122.18978,3990.0,7445.0,2020.0,,5.0,3.5,"6190 112th Ln SE, Bellevue, WA 98006",Bellevue,98006,Single Family,8728d551effffff,7
2025-10-09,740000.0,"132-Ne-130th-St,-Seattle,-WA-98125",47.723329,-122.327458,2010.0,6900.0,1957.0,,3.0,1.5,"132 Ne 130th St, Seattle, WA 98125",Seattle,98125,Single Family,8728d54e5ffffff,9
2025-10-09,1000000.0,"15728-Ne-1st-St,-Bellevue,-WA-98008",47.611696,-122.130035,1030.0,8400.0,1959.0,,3.0,1.0,"15728 Ne 1st St, Bellevue, WA 98008",Bellevue,98008,Single Family,8728d558cffffff,59
2025-10-09,1495000.0,"5210-35th-Ave-NE,-Seattle,-WA-98105",47.66701,-122.289849,2550.0,6000.0,1913.0,,3.0,1.5,"5210 35th Ave NE, Seattle, WA 98105",Seattle,98105,Single Family,8728d5401ffffff,59
