sale_date,sale_price,sale_nbr,lat,lng,sqft,sqft_lot,year_built,year_reno,sqft_fbsmt,sqft_1,grade,fbsmt_grade,condition,stories,beds,bath_full,bath_3qtr,bath_half,garb_sqft,gara_sqft
2020-06-09,730000,,47.67893087178944,-122.35044029756196,1220,3290,1925,0,140,1080,7,6,5,1.0,2,1,0,0,0,0
2020-06-09,1355000,2.0,47.5904090599664,-122.19469833244068,3070,9600,1976,0,1080,1990,8,8,5,1.0,5,1,2,0,370,170
2020-06-10,3300000,,47.64262545796538,-122.23762086870448,2200,33000,1920,0,0,1420,8,0,5,1.5,4,2,0,0,0,0
2020-06-13,1750000,3.0,47.668140384393176,-122.28940229987268,800,4000,1926,0,0,800,7,0,3,1.0,2,1,0,0,0,0
2020-06-15,4185000,3.0,47.532241951888444,-122.21740445873004,2410,16316,1947,0,740,1420,8,5,4,1.5,4,1,2,0,0,0
2020-06-08,645000,3.0,47.56965313045741,-122.37899393166096,760,4370,1943,0,0,760,7,0,3,1.0,2,1,0,0,0,0
2020-06-13,707000,4.0,47.52147597384968,-122.27477214082812,2230,8163,1966,0,1000,1230,7,6,3,1.0,3,1,0,0,0,0
2020-06-13,500000,3.0,47.432319356316576,-122.32540102946808,1600,10956,1953,0,400,1200,7,5,3,1.0,6,1,0,1,0,280
2020-06-15,925000,3.0,47.67239420317985,-122.28991258472936,2300,4000,1939,0,450,1210,8,5,3,1.5,4,1,1,0,0,0
2020-06-12,560000,7.0,47.4820869847053,-122.3026635937855,2280,13500,1960,0,780,1500,7,5,3,1.0,4,1,1,0,0,0
2020-06-19,900000,,47.25328001956096,-122.10413819192252,1740,352400,1977,0,0,1160,8,0,4,2.0,2,1,1,0,0,0
2020-06-14,645000,,47.621642966987864,-122.29648518056815,830,5250,1953,0,0,830,6,0,3,1.0,2,1,0,0,200,0
2020-06-19,524700,2.0,47.45191657415573,-122.28248861048058,1430,11600,1961,0,0,1430,7,0,4,1.0,3,1,0,1,0,0
2020-06-18,650000,3.0,47.69721823859904,-122.39121649682004,540,8144,1976,0,0,540,5,0,4,1.0,1,0,1,0,0,0
2020-06-17,830000,,47.66834535558849,-122.32092958879248,1280,2800,1916,0,0,930,6,0,3,1.5,4,1,0,0,180,0
2020-06-24,450000,,47.506150786477136,-122.25008028431968,960,7440,1955,0,0,960,7,0,3,1.0,3,1,0,1,0,0
2020-06-22,470000,2.0,47.48206144958028,-122.29627652648264,1190,15627,1958,0,100,1090,7,6,3,1.0,4,1,0,0,310,0
2020-06-29,610000,,47.67390853598716,-121.8549312532978,1300,17995,1961,0,0,1300,7,0,3,1.0,2,1,0,0,0,0
2020-06-25,775000,5.0,47.669086096752885,-122.29763393259478,910,4059,1916,0,0,600,6,0,4,1.5,2,1,0,0,0,0
2020-06-29,580000,6.0,47.502719716086055,-122.26102542996784,1560,7242,1966,0,400,1160,7,6,3,1.0,2,1,0,0,0,0
2020-06-25,810000,5.0,47.526540886650395,-122.0518111320504,1880,11875,1961,0,0,1880,7,0,3,1.0,4,1,1,0,0,960
2020-06-10,1545000,3.0,47.69631007727698,-122.3691125796765,1160,5425,1944,0,400,760,6,6,3,1.0,2,1,0,1,0,0
2020-06-17,599000,1.0,47.52231240573288,-122.35317779932387,1620,10101,1954,0,470,1150,6,2,4,1.0,4,1,0,0,0,0
2020-06-26,2600000,,47.743845683011514,-122.3715400560244,4870,159865,1960,0,390,3800,12,12,5,1.5,3,4,0,1,0,920
2020-06-15,480000,,47.73207049528838,-122.30495845071792,750,7001,1944,0,0,750,6,0,3,1.0,2,1,0,0,0,0
2020-06-30,2180000,3.0,47.67710683218345,-122.3280613459082,1270,5100,1900,0,170,1100,7,6,3,1.0,2,1,0,0,0,0
2020-06-22,489900,2.0,47.20991557241936,-121.98877543225616,2820,8122,1939,0,1210,1210,7,6,4,1.5,5,1,1,0,0,0
2020-07-02,700000,3.0,47.50401417392534,-122.26850140360548,2430,16650,1956,0,600,1530,7,6,4,1.5,4,1,0,2,0,0
2020-06-26,550000,3.0,47.49295329097697,-122.30777866132046,1400,8400,1923,0,0,1200,6,0,4,1.5,3,1,0,0,0,0
2020-07-01,945000,,47.64295651000636,-122.30353999821622,1690,5000,1910,0,0,910,8,0,4,2.0,3,1,1,1,0,0
2020-07-01,780000,3.0,47.57268934482352,-122.39437165541676,1060,6466,1950,0,0,1060,7,0,3,1.0,3,1,0,0,0,0
2020-07-07,660000,3.0,47.50563153442105,-122.36867170278744,2040,6250,1953,0,760,950,7,3,4,1.5,4,1,0,1,0,360
2020-07-05,1721823,2.0,47.64601096641694,-122.38427614050327,760,6000,1942,0,0,760,6,0,3,1.0,2,1,0,0,0,0
2020-07-07,1105000,1.0,47.6795671420126,-122.11652804883046,1420,12635,1960,0,0,1420,7,0,3,1.0,3,1,1,0,0,520
2020-06-18,448500,3.0,47.50558765125338,-122.32656620327144,1090,7155,1942,0,100,990,6,4,3,1.0,3,1,0,0,240,0
2020-07-08,1415000,,47.66217632183666,-122.19882604259608,2490,8500,1967,0,1120,1370,8,5,4,1.0,4,1,1,1,0,620
2020-07-09,608000,1.0,47.51348442474352,-122.2529079497468,2760,7006,1907,1981,0,1380,7,0,3,2.0,5,3,0,0,0,0
2020-07-10,1000000,,47.72148963789424,-122.25534075246132,2140,11180,1978,0,0,1600,9,0,4,2.0,3,2,0,1,0,420
2020-07-09,527500,,47.53035834959193,-122.38075630425044,750,5095,1942,0,0,750,6,0,4,1.0,2,1,0,0,0,0
2020-07-02,1550000,2.0,47.71597652234666,-122.2442913102472,2300,59677,1965,0,0,1440,10,0,4,2.0,4,1,1,1,0,0
2020-07-08,700000,3.0,47.68986440936147,-122.285695239168,1130,5858,1948,0,180,950,7,7,3,1.0,2,1,0,0,300,0
