id,address,latitude,longitude,lastSalePrice,squareFootage,lotSize,bedrooms,bathrooms,propertyType,lastSaleDate
"7015-26th-Ave-NE,-Seattle,-WA-98115","7015 26th Ave NE, Seattle, WA 98115",47.679911,-122.299909,1185000,2370,6000,4,2.0,Single Family,2025-10-16
"7516-28th-Ave-NE,-Seattle,-WA-98115","7516 28th Ave NE, Seattle, WA 98115",47.683537,-122.296834,1250000,2900,8044,7,2.5,Single Family,2025-10-24
"8314-28th-Ave-NE,-Seattle,-WA-98115","8314 28th Ave NE, Seattle, WA 98115",47.689916,-122.296995,2150000,1938,3398,3,1.5,Single Family,2025-10-22
"7713-36th-Ave-NE,-Seattle,-WA-98115","7713 36th Ave NE, Seattle, WA 98115",47.685284,-122.289830,960000,1000,5000,2,1.0,Single Family,2025-10-14
"7560-30th-Ave-NE,-Seattle,-WA-98115","7560 30th Ave NE, Seattle, WA 98115",47.684711,-122.295563,2515000,3520,4588,4,3.5,Single Family,2025-10-08
"7521-30th-Ave-NE,-Seattle,-WA-98115","7521 30th Ave NE, Seattle, WA 98115",47.683710,-122.296292,1861900,2530,8165,3,1.5,Single Family,2025-09-30
"7520-31st-Ave-NE,-Seattle,-WA-98115","7520 31st Ave NE, Seattle, WA 98115",47.683674,-122.294470,755000,1280,6120,3,2.0,Single Family,2025-10-20
"7503-32nd-Ave-NE,-Seattle,-WA-98115","7503 32nd Ave NE, Seattle, WA 98115",47.683210,-122.293815,1615000,2810,5100,5,3.0,Single Family,2025-11-03
"7327-35th-Ave-NE,-Seattle,-WA-98115","7327 35th Ave NE, Seattle, WA 98115",47.682006,-122.290632,690000,1220,896,1,1.5,Single Family,2025-11-12
"7708-44th-Ave-NE,-Seattle,-WA-98115","7708 44th Ave NE, Seattle, WA 98115",47.685202,-122.280732,1140000,1350,6500,3,1.0,Single Family,2025-09-29
"8026-39th-Ave-NE,-Seattle,-WA-98115","8026 39th Ave NE, Seattle, WA 98115",47.687495,-122.286027,1225000,1910,6000,4,1.5,Single Family,2025-11-06
"8008-38th-Ave-NE,-Seattle,-WA-98115","8008 38th Ave NE, Seattle, WA 98115",47.687009,-122.287078,950000,1010,6000,3,1.0,Single Family,2025-10-09
"8048-Crest-Dr-NE,-Seattle,-WA-98115","8048 Crest Dr NE, Seattle, WA 98115",47.687569,-122.273862,3400000,3010,15375,4,3.0,Single Family,2025-10-03
"6545-47th-Ave-NE,-Seattle,-WA-98115","6545 47th Ave NE, Seattle, WA 98115",47.677138,-122.278256,1390500,2290,5782,4,2.0,Single Family,2025-10-31
"7734-57th-Ave-NE,-Seattle,-WA-98115","7734 57th Ave NE, Seattle, WA 98115",47.685495,-122.266894,1720000,2720,5952,5,3.5,Single Family,2025-11-06
"8005-Sand-Point-Way-NE,-Unit-A52,-Seattle,-WA-98115","8005 Sand Point Way NE, Unit A52, Seattle, WA 98115",47.689355,-122.268556,785000,1340,361500,2,2.0,Condo,2025-10-06
"8005-Sand-Point-Way-NE,-Unit-A22,-Seattle,-WA-98115","8005 Sand Point Way NE, Unit A22, Seattle, WA 98115",47.689355,-122.268556,689000,1353,361500,2,2.0,Condo,2025-10-08
"9008-Sand-Point-Way-NE,-Seattle,-WA-98115","9008 Sand Point Way NE, Seattle, WA 98115",47.693765,-122.273184,960000,2350,6300,3,2.0,Multi-Family,2025-11-10
"10009-45th-Ave-NE,-Seattle,-WA-98125","10009 45th Ave NE, Seattle, WA 98125",47.701516,-122.280449,855000,1860,9448,4,1.0,Single Family,2025-11-07
